N,P,K,temperature,humidity,ph,rainfall,label
17.75,7.18,7.87,29.54,90.76,6.97,118.35,orange
39.71,11.12,37.87,21.91,88.04,6.09,105.06,pomegranate
25.68,63.7,19.5,22.49,22.56,5.81,91.71,kidneybeans
101.77,13.15,49.97,24.4,84.96,6.17,41.89,watermelon
20.65,49.52,24.36,29.02,84.81,6.81,63.76,mungbean
38.56,58.33,24.28,33.68,67.08,6.16,72.76,blackgram
82.36,50.8,39.48,22.05,81.31,6.51,269.28,rice
63.03,59.36,44.86,24.89,82.14,5.96,276.4,rice
101.42,59.93,23.73,24.38,77.57,6.26,77.81,cotton
122.39,41.17,24.77,28.37,79.13,5.8,99.27,cotton
36.3,74.45,22.61,21.57,33.54,6.6,130.52,pigeonpeas
13.45,12.36,13.73,29.92,92.57,6.2,104.3,orange
58.87,67.82,17.91,29.69,68.58,6.46,66.93,blackgram
30.28,70.17,16.67,27.57,67.2,6.09,58.91,lentil
91.34,93.71,53.42,28.61,75.78,5.61,104.78,banana
24.91,25.32,33.6,29.77,54.81,6.03,91.74,mango
87.33,36.9,23.51,21.96,64.61,6.39,101.23,maize
1.92,146.46,199.44,22.36,90.7,5.5,106.13,apple
2.08,5.19,42.96,21.34,86.31,6.24,146.96,pomegranate
37.35,28.56,30.27,28.55,45.01,6.53,63.5,mango
120.67,40.34,20.36,28.68,81.16,6.77,87.05,cotton
37.31,35.5,16.54,29.66,84.59,6.56,56.58,mungbean
33.94,71.22,17.75,20.97,55.44,6.3,109.73,pigeonpeas
40.49,72.01,75.63,17.34,18.3,5.72,67.85,chickpea
27.16,146.21,199.32,21.65,93.82,6.08,101.78,apple
110.83,17.76,25.27,24.37,55.39,7.23,185.53,coffee
34.73,77.07,17.03,29.16,58.05,6.54,134.9,pigeonpeas
81.82,39.5,38.47,26.73,72.92,6.95,179.65,jute
62.4,47.2,42.74,23.6,82.23,6.36,193.37,jute
71.04,43.77,37.17,25.34,76.96,6.99,150.78,jute
44.07,50.81,51.17,33.2,94.96,6.98,173.36,papaya
20.07,66.37,22.53,19.59,65.47,6.55,47.68,lentil
24.27,138.8,201.38,29.38,82.21,6.49,72.32,grapes
97.54,41.29,39.97,22.11,81.14,5.56,252.71,rice
27.6,29.29,5.84,32.53,90.63,6.59,117.03,orange
11.33,45.01,23.12,27.04,86.49,6.67,59.97,mungbean
37.34,36.68,27.34,35.56,51.09,6.93,74.94,mango
46.07,73.46,18.16,21.45,20.77,5.86,77.93,kidneybeans
31.26,147.92,197.46,27.62,81.1,6.32,65.05,grapes
12.63,36.42,22.67,29.11,83.31,6.68,49.9,mungbean
24.35,28.76,14.99,19.3,91.49,7.29,119.97,orange
34.1,66.38,21.68,33.91,36.79,4.56,175.7,pigeonpeas
94.6,80.81,51.23,25.37,80.04,5.68,107.22,banana
98.22,47.32,38.29,24.43,80.96,5.61,196.95,rice
27.09,57.63,17.22,27.87,54.31,5.24,96.35,pigeonpeas
28.11,19.34,40.31,20.8,94.54,6.64,118.42,pomegranate
80.42,36.54,29.51,23.02,58.03,6.28,181.22,coffee
92.67,8.87,45.38,28.75,91.15,6.15,26.54,muskmelon
23.53,74.42,23.48,26.82,64.3,6.25,72.07,blackgram
64.54,53.08,49.64,31.13,90.75,6.96,124.91,papaya
64.43,63.83,50.53,29.97,91.83,6.88,48.24,papaya
29.09,19.71,36.56,19.58,87.12,6.79,113.41,pomegranate
53.71,62.83,22.89,23.92,21.04,5.95,93.96,kidneybeans
23.97,65.04,87.0,17.82,17.33,7.7,89.64,chickpea
7.6,35.97,18.92,29.41,83.41,6.44,56.89,mungbean
36.71,57.19,21.25,29.42,80.69,6.33,47.84,mungbean
19.76,17.96,25.14,30.34,51.98,6.48,71.83,mango
37.41,70.79,20.33,20.19,54.23,4.85,127.09,pigeonpeas
115.63,15.78,45.73,29.46,92.47,6.85,26.01,muskmelon
23.39,35.41,34.88,31.28,45.47,6.5,84.18,mango
17.76,48.3,23.74,31.96,54.57,8.7,39.71,mothbeans
32.5,69.29,23.33,35.22,30.49,6.52,95.7,pigeonpeas
91.25,19.3,45.54,29.13,92.66,6.48,22.23,muskmelon
66.8,52.27,38.87,26.56,80.55,6.01,195.16,rice
28.39,5.11,40.18,18.26,90.69,6.92,148.58,pomegranate
100.03,11.84,48.44,29.08,93.8,6.85,29.73,muskmelon
37.18,73.71,19.39,29.6,36.41,6.52,109.72,pigeonpeas
22.2,128.62,204.4,23.05,94.86,5.54,107.13,apple
19.33,59.67,22.55,27.75,85.38,6.99,61.44,mungbean
64.43,51.79,40.2,25.41,82.08,6.78,246.02,rice
22.01,56.82,19.03,17.95,19.63,5.64,132.31,kidneybeans
31.01,137.23,201.96,23.7,93.56,5.87,117.83,apple
70.34,41.1,44.73,22.75,83.57,6.45,274.2,rice
37.79,27.23,28.42,37.17,45.24,5.95,81.96,mango
57.31,68.52,51.63,41.17,94.14,6.36,166.03,papaya
26.38,52.2,16.2,31.51,44.53,7.49,35.02,mothbeans
138.8,50.86,22.64,22.67,76.61,6.97,81.57,cotton
19.37,5.95,40.52,23.89,94.97,6.43,119.41,pomegranate
34.09,65.57,18.47,25.55,40.57,5.12,143.13,pigeonpeas
32.83,55.01,50.77,40.81,94.87,6.44,52.69,papaya
26.03,76.67,23.94,29.04,60.95,6.54,67.22,lentil
73.91,51.95,20.66,20.14,72.57,6.7,92.92,maize
40.29,56.04,77.23,20.95,19.79,5.51,103.07,chickpea
89.69,11.21,47.33,28.47,94.36,6.71,25.8,muskmelon
105.17,58.65,22.12,27.93,79.99,6.45,65.5,cotton
55.61,56.99,22.31,16.87,24.01,5.91,108.67,kidneybeans
46.31,79.99,75.72,20.91,16.44,8.11,96.3,chickpea
3.17,49.15,24.08,28.19,82.96,6.14,43.79,mungbean
119.17,16.84,27.84,24.21,54.97,6.57,190.91,coffee
106.76,35.81,30.74,25.33,62.73,6.45,159.13,coffee
10.68,16.0,12.96,25.24,90.55,6.94,103.73,orange
115.06,8.02,45.78,26.36,88.35,6.16,52.82,watermelon
17.15,23.96,8.72,16.1,93.65,6.63,119.63,orange
6.19,133.55,199.08,31.37,81.0,6.14,73.77,grapes
119.26,32.79,29.18,26.49,69.99,7.07,188.08,coffee
28.65,55.78,17.6,18.64,65.17,5.23,151.31,pigeonpeas
8.77,25.72,31.52,35.0,45.01,6.84,66.58,mango
9.89,141.95,199.39,21.19,92.28,5.57,119.97,apple
4.14,25.79,27.3,32.68,47.53,6.85,96.24,mango
15.17,18.66,41.15,20.88,94.34,6.05,114.46,pomegranate
88.2,32.89,33.09,25.26,60.13,6.05,153.47,coffee
24.09,69.78,16.86,24.3,64.2,5.12,97.83,pigeonpeas
98.87,21.72,25.56,25.04,51.05,6.83,165.36,coffee
26.0,139.61,204.56,8.1,80.99,6.43,74.32,grapes
132.19,53.41,24.25,25.57,76.73,5.6,72.32,cotton
4.53,13.55,43.62,21.34,94.95,6.68,108.33,pomegranate
40.85,60.37,54.77,24.45,91.06,6.47,243.41,papaya
20.97,126.87,196.22,21.45,91.28,6.01,124.16,apple
33.35,69.48,23.89,30.69,66.32,6.78,65.51,blackgram
36.77,75.13,23.23,35.72,51.77,5.1,157.85,pigeonpeas
80.96,9.7,53.2,25.66,84.51,6.29,44.47,watermelon
65.46,59.06,47.52,43.01,92.42,6.33,78.11,papaya
21.57,55.55,22.74,26.34,64.68,6.91,69.28,blackgram
35.22,133.01,199.12,9.21,81.99,6.05,70.59,grapes
23.15,70.46,22.81,26.44,68.34,6.06,67.43,lentil
87.14,45.22,36.73,21.1,81.0,6.32,264.89,rice
97.11,32.54,29.35,25.09,65.2,6.26,166.93,coffee
69.54,56.75,47.56,41.61,92.46,6.6,60.09,papaya
46.04,68.64,75.93,19.05,18.84,6.88,67.08,chickpea
113.92,38.01,29.49,25.68,64.84,7.04,194.53,coffee
81.7,44.28,41.97,24.9,86.72,7.02,184.23,jute
6.52,40.85,15.24,30.68,64.37,4.37,35.42,mothbeans
34.26,10.94,36.99,20.97,88.86,6.92,139.29,pomegranate
32.6,69.37,51.81,31.18,93.51,6.76,203.79,papaya
25.37,62.19,21.57,36.4,54.15,4.73,98.31,pigeonpeas
27.78,121.66,197.85,23.28,90.4,6.36,102.3,apple
46.97,61.5,18.45,24.17,20.03,5.73,140.11,kidneybeans
12.38,20.42,10.34,15.46,90.82,6.36,110.05,orange
30.15,49.45,24.04,30.54,58.93,3.86,25.31,mothbeans
81.4,52.3,41.52,21.57,82.85,5.86,219.75,rice
25.95,58.86,16.51,28.43,86.02,6.58,50.04,mungbean
87.29,19.13,52.55,24.62,83.38,6.81,50.44,watermelon
0.4,6.27,43.08,23.4,94.15,6.85,135.74,pomegranate
1.73,29.36,25.17,29.74,93.69,5.52,202.02,coconut
3.0,7.76,28.84,29.7,96.93,6.8,172.98,coconut
97.8,59.67,35.45,23.6,78.47,6.28,168.19,jute
35.79,9.02,39.11,24.29,93.96,6.69,143.65,pomegranate
59.52,66.35,21.88,16.41,21.4,5.51,105.49,kidneybeans
27.1,45.71,22.31,30.6,43.66,8.83,49.31,mothbeans
88.77,38.16,35.49,26.51,71.6,6.22,151.11,jute
44.83,60.03,18.95,15.39,21.33,5.77,80.5,kidneybeans
69.46,41.73,38.77,20.14,81.29,5.82,219.99,rice
29.29,60.83,23.13,25.06,62.11,6.24,63.84,lentil
54.94,53.94,53.44,31.97,93.63,6.1,123.17,papaya
27.44,19.23,37.68,23.68,85.55,6.54,108.17,pomegranate
24.14,14.73,10.58,24.42,90.83,6.6,106.87,orange
58.74,74.97,79.39,20.92,17.61,7.25,94.92,chickpea
63.56,41.79,42.68,26.41,85.58,6.95,175.7,jute
35.74,16.35,38.32,23.21,86.52,6.13,120.55,pomegranate
122.3,51.1,21.13,27.75,81.43,6.54,94.09,cotton
15.91,59.35,20.44,26.2,57.74,5.24,65.69,mothbeans
20.36,56.54,23.66,27.03,87.78,6.46,64.72,mungbean
13.85,139.64,202.09,27.93,81.43,6.08,68.42,grapes
25.43,43.9,16.49,28.79,88.14,6.38,43.31,mungbean
34.03,62.15,21.4,21.77,69.58,6.03,62.39,lentil
113.86,54.36,17.62,24.63,76.08,7.37,74.55,cotton
56.6,68.33,16.58,21.96,23.55,5.66,137.15,kidneybeans
32.05,25.26,27.3,31.47,53.26,5.07,80.98,mango
80.12,9.55,46.09,28.42,93.39,6.87,27.49,muskmelon
56.72,62.0,23.58,17.92,24.38,5.88,132.44,kidneybeans
26.57,10.35,9.33,14.94,92.74,6.17,100.46,orange
25.2,58.99,16.6,19.34,37.43,6.49,186.99,pigeonpeas
85.54,44.94,17.74,25.87,63.19,6.84,71.5,maize
81.77,58.91,43.87,23.68,79.46,7.46,168.62,jute
80.69,39.85,30.44,25.37,69.09,6.23,159.46,coffee
113.56,49.29,19.47,27.27,75.51,6.49,74.8,cotton
78.13,48.11,19.41,21.21,66.19,5.73,69.1,maize
6.14,64.16,18.73,19.82,67.98,6.71,50.71,lentil
48.31,56.56,16.47,15.08,22.42,5.72,72.08,kidneybeans
20.38,13.19,38.59,18.57,86.93,6.95,123.39,pomegranate
56.71,64.46,52.76,33.77,93.99,6.6,106.05,papaya
95.62,47.78,40.02,25.59,82.6,6.55,274.31,rice
27.82,60.86,17.2,36.24,54.65,6.17,135.74,pigeonpeas
102.83,12.26,50.5,28.48,92.83,6.72,21.1,muskmelon
36.38,39.75,23.21,28.63,80.78,6.96,46.17,mungbean
35.78,65.55,19.11,24.08,23.0,5.8,87.84,kidneybeans
71.07,49.81,24.12,19.69,67.46,6.45,96.66,maize
91.48,43.36,43.81,25.46,86.45,6.82,160.92,jute
55.16,69.29,20.17,19.3,20.22,5.72,129.65,kidneybeans
27.1,68.63,89.77,20.75,14.26,5.99,70.27,chickpea
118.85,56.91,19.44,24.28,83.96,7.22,68.2,cotton
22.25,54.49,15.16,30.55,41.0,9.2,69.64,mothbeans
15.92,148.59,202.03,20.17,94.53,5.98,111.51,apple
65.01,49.73,50.48,22.53,93.82,6.58,171.37,papaya
1.97,7.87,42.91,21.18,88.02,6.38,143.45,pomegranate
116.22,49.22,22.91,27.58,84.96,5.53,77.76,cotton
14.37,26.88,28.64,34.05,54.01,4.91,75.26,mango
18.87,134.87,202.32,10.98,82.67,6.4,65.58,grapes
30.77,29.92,28.37,29.89,46.22,5.77,83.41,mango
97.97,27.33,27.99,23.79,50.95,6.29,179.1,coffee
98.73,36.55,30.04,26.42,61.76,7.26,164.23,coffee
127.14,49.56,20.53,28.87,76.02,6.19,86.91,cotton
5.97,41.7,18.61,27.27,56.99,3.86,26.56,mothbeans
29.36,17.87,33.14,28.61,96.15,5.73,215.24,coconut
28.07,10.68,25.04,26.71,99.69,6.54,176.12,coconut
1.87,15.81,33.27,25.12,96.75,6.9,161.32,coconut
16.81,137.31,203.73,23.45,91.86,5.71,119.38,apple
10.85,28.69,9.64,11.47,93.65,6.49,113.07,orange
32.13,37.43,30.18,32.01,45.31,6.7,60.52,mango
31.88,29.76,25.97,33.03,52.03,6.48,85.16,mango
12.27,16.88,9.49,27.71,93.12,6.97,114.28,orange
100.87,71.85,46.92,29.2,82.25,6.39,93.53,banana
25.2,145.36,197.97,21.42,94.53,6.4,124.41,apple
29.45,137.14,195.67,11.96,82.39,5.77,65.8,grapes
48.39,79.59,15.5,25.97,67.2,6.42,66.84,blackgram
58.2,68.06,18.0,15.77,21.5,5.9,123.64,kidneybeans
2.79,140.33,196.73,19.71,80.25,5.77,72.68,grapes
137.11,41.43,17.7,25.29,77.43,5.76,102.87,cotton
5.16,73.0,16.01,25.48,63.56,6.79,52.01,lentil
106.7,70.32,53.72,27.23,78.43,5.64,103.18,banana
9.33,50.63,22.47,25.75,41.5,4.34,52.27,mothbeans
18.02,139.4,204.53,23.18,90.2,5.83,111.76,apple
63.5,50.77,40.04,25.11,88.53,6.05,188.67,jute
35.18,79.14,18.42,22.06,60.07,6.68,69.76,lentil
103.02,18.08,31.9,26.66,50.86,7.01,170.73,coffee
6.84,15.65,6.87,29.33,92.37,6.53,107.22,orange
5.77,73.97,20.01,28.94,61.47,6.65,51.99,lentil
56.35,74.01,21.76,28.01,61.84,7.13,69.74,blackgram
88.45,77.83,46.79,29.51,78.97,5.75,103.45,banana
32.05,69.96,17.97,18.0,23.2,5.52,141.26,kidneybeans
24.9,5.15,36.95,21.44,94.51,6.38,124.1,pomegranate
90.29,37.59,37.31,24.58,73.4,6.74,173.57,jute
69.95,46.79,45.44,26.78,94.86,6.98,177.53,papaya
27.05,76.47,24.63,25.54,61.84,6.11,69.39,lentil
34.0,29.9,30.08,26.73,91.86,5.51,185.82,coconut
22.87,65.24,18.11,21.77,22.24,5.68,79.61,kidneybeans
58.43,59.92,24.51,24.95,22.98,5.99,111.26,kidneybeans
33.98,36.12,22.34,26.73,51.96,9.44,39.94,mothbeans
66.6,69.73,53.74,43.95,91.22,6.84,212.84,papaya
54.41,73.07,76.02,19.83,17.26,5.75,83.33,chickpea
87.95,12.63,46.57,26.01,87.54,6.11,47.02,watermelon
2.9,38.85,27.23,37.15,49.26,6.96,82.16,mango
26.53,25.21,27.8,35.04,47.42,4.93,81.19,mango
77.39,41.16,23.19,24.4,68.89,5.91,89.51,maize
95.34,73.81,51.67,26.42,80.86,6.09,103.37,banana
67.09,39.59,38.04,23.67,81.73,5.94,252.97,rice
3.25,59.81,16.56,31.91,64.43,8.58,54.67,mothbeans
34.09,142.7,201.11,21.46,91.05,6.28,112.16,apple
37.2,71.82,17.75,18.06,23.52,5.72,131.85,kidneybeans
10.6,71.8,15.52,19.36,60.04,7.0,69.07,lentil
30.09,73.88,81.91,20.37,18.37,7.83,91.25,chickpea
20.17,59.17,22.13,21.66,24.76,5.88,145.57,kidneybeans
137.11,37.36,18.71,27.67,77.26,6.81,68.21,cotton
25.42,69.94,23.66,35.99,34.24,4.96,193.92,pigeonpeas
27.52,63.88,86.76,19.22,14.03,7.78,66.41,chickpea
44.78,71.26,77.28,17.25,18.68,6.88,67.33,chickpea
116.15,11.15,50.25,28.43,92.24,6.78,25.27,muskmelon
31.08,146.17,197.16,10.85,81.93,6.01,73.29,grapes
18.12,78.64,21.77,21.62,61.88,6.3,47.79,lentil
8.9,149.99,196.72,23.09,91.12,5.58,121.87,apple
38.77,44.45,15.62,28.02,85.06,6.16,56.45,mungbean
21.09,79.33,17.26,23.78,42.16,5.19,90.16,pigeonpeas
55.07,79.91,80.52,18.79,18.33,8.16,88.72,chickpea
109.66,47.26,15.74,22.28,79.69,6.3,66.84,cotton
41.41,60.38,75.18,17.96,19.86,7.9,103.38,chickpea
33.87,74.28,21.55,20.88,65.04,6.12,121.07,pigeonpeas
18.25,120.9,198.97,27.42,83.81,6.02,73.19,grapes
38.19,123.86,201.97,22.02,90.13,6.42,121.3,apple
47.45,56.74,16.75,23.56,19.59,5.92,85.13,kidneybeans
54.33,76.12,18.6,31.87,63.13,6.09,72.02,blackgram
36.23,59.23,24.77,33.53,64.98,6.9,67.27,blackgram
20.5,75.97,15.11,31.37,68.81,5.81,115.85,pigeonpeas
94.67,34.02,29.85,24.01,52.49,6.52,156.88,coffee
33.2,65.39,17.58,28.4,66.69,6.45,59.64,lentil
101.07,37.3,21.86,25.43,83.65,6.89,60.41,cotton
33.46,11.22,9.32,26.7,92.15,6.66,101.31,orange
17.98,17.55,40.72,24.99,87.87,6.28,112.19,pomegranate
17.32,22.57,6.83,25.25,93.63,6.47,116.58,orange
21.19,129.65,195.75,23.58,94.01,5.64,119.42,apple
30.91,40.92,21.77,28.53,63.23,5.98,27.98,mothbeans
89.13,24.55,31.54,23.38,62.07,7.4,192.52,coffee
6.96,63.44,15.18,22.8,65.5,6.62,64.9,lentil
79.22,37.62,17.42,25.89,57.85,6.25,90.91,maize
62.69,49.55,18.46,22.97,55.91,6.81,108.67,maize
1.55,7.91,40.37,24.54,93.35,6.84,118.64,pomegranate
119.39,18.17,53.95,28.98,91.72,6.89,22.92,muskmelon
92.59,37.0,23.95,22.38,71.35,6.18,92.18,maize
25.76,44.52,15.55,28.8,89.02,6.38,45.41,mungbean
85.07,36.84,36.9,24.35,71.56,6.29,195.56,jute
75.85,53.96,21.96,19.23,71.32,5.84,71.19,maize
2.52,59.68,15.32,26.92,67.23,6.14,70.08,lentil
49.83,60.06,89.37,18.47,15.96,5.95,77.22,chickpea
17.31,49.89,15.81,29.82,87.55,6.59,60.71,mungbean
6.94,14.33,29.18,26.5,96.57,6.88,176.05,coconut
35.89,15.97,27.34,27.06,97.16,5.66,164.34,coconut
101.04,37.25,17.87,29.78,80.59,6.25,104.44,cotton
39.87,62.11,16.34,21.3,18.38,5.87,88.58,kidneybeans
29.12,60.3,84.16,18.64,19.04,8.2,79.14,chickpea
0.0,52.8,18.57,26.04,40.32,6.96,63.3,mothbeans
90.3,28.6,32.4,26.03,57.84,6.18,189.04,coffee
26.82,64.61,18.47,29.32,67.82,6.73,72.94,blackgram
117.84,42.72,21.07,23.48,81.27,5.85,63.19,cotton
67.01,57.86,19.19,21.07,65.38,5.57,68.31,maize
0.03,56.77,22.93,29.02,58.76,4.47,45.62,mothbeans
3.37,79.61,21.66,21.42,65.86,6.11,73.98,lentil
24.84,65.47,22.51,15.71,18.56,5.68,144.76,kidneybeans
84.5,93.35,46.84,26.26,79.07,5.88,113.84,banana
108.89,7.86,49.42,24.21,83.9,6.74,45.8,watermelon
33.81,135.76,201.92,38.03,81.98,5.81,72.54,grapes
23.23,78.22,19.97,28.12,64.46,6.71,66.96,lentil
39.0,77.45,20.25,32.07,62.52,6.67,66.23,blackgram
69.72,45.26,42.56,21.6,80.31,5.93,200.7,rice
29.96,9.08,36.18,19.76,94.21,6.58,129.01,pomegranate
37.23,15.13,32.48,36.93,46.4,4.74,76.98,mango
26.27,25.93,28.73,29.37,92.13,5.99,153.57,coconut
130.61,57.39,22.9,23.56,81.0,6.16,60.46,cotton
3.34,40.28,22.52,24.41,52.31,6.33,40.05,mothbeans
39.06,51.14,24.35,27.91,87.82,6.77,57.29,mungbean
34.06,76.59,19.07,27.15,61.44,6.01,45.6,lentil
29.0,133.08,201.3,19.58,81.2,6.08,69.98,grapes
22.86,72.3,17.06,25.45,65.83,5.11,145.86,pigeonpeas
93.17,71.06,49.96,27.72,76.68,6.26,119.55,banana
80.79,43.43,23.29,21.45,59.97,6.43,95.34,maize
97.78,76.41,46.9,28.35,75.0,6.31,92.38,banana
97.8,19.99,53.35,29.68,94.12,6.1,22.27,muskmelon
2.16,135.5,200.05,13.08,80.42,5.62,66.01,grapes
25.57,60.89,22.14,28.48,61.27,6.87,62.81,lentil
110.63,11.62,52.16,25.16,82.11,6.63,54.64,watermelon
106.78,94.27,46.76,27.99,79.24,5.95,97.62,banana
22.31,139.54,196.54,22.59,90.91,6.25,108.48,apple
29.44,22.53,29.63,33.59,46.71,6.35,72.11,mango
12.94,51.63,20.57,26.74,43.36,4.1,62.42,mothbeans
111.14,73.28,51.01,25.17,79.98,5.65,95.49,banana
26.25,14.63,13.36,33.75,94.03,6.57,115.77,orange
11.7,13.06,9.38,17.69,94.92,7.22,103.29,orange
27.03,148.81,197.54,23.5,94.62,6.17,123.28,apple
63.28,45.79,43.28,24.89,86.59,7.09,160.47,jute
7.25,32.8,28.85,31.43,52.83,6.91,65.07,mango
80.72,48.52,41.37,25.08,83.9,6.27,219.46,rice
35.4,126.65,199.64,23.99,83.49,6.26,70.13,grapes
35.66,65.32,85.43,17.01,17.72,6.57,96.77,chickpea
34.44,63.07,47.68,40.04,94.98,6.08,139.34,papaya
92.39,41.37,21.82,24.08,66.91,6.21,80.59,maize
110.85,14.92,49.09,29.69,90.81,7.0,21.19,muskmelon
45.67,59.73,47.76,25.85,93.87,6.95,61.09,papaya
62.93,37.24,41.52,24.95,85.81,7.37,169.42,jute
84.97,37.92,24.4,23.02,61.7,5.71,99.7,maize
4.01,147.96,198.75,20.32,91.94,6.1,112.84,apple
28.04,58.84,20.73,23.26,66.85,6.25,155.21,pigeonpeas
80.87,20.83,32.57,25.93,65.65,7.12,152.53,coffee
6.91,130.73,197.91,22.46,94.51,6.46,116.34,apple
17.06,28.49,29.29,26.79,94.41,6.28,196.88,coconut
0.56,69.17,24.32,25.99,68.23,6.01,61.26,lentil
29.77,30.49,33.03,31.75,52.86,5.66,97.64,mango
94.89,15.81,50.55,28.27,92.83,6.37,29.36,muskmelon
65.16,46.41,37.72,24.41,71.89,6.64,199.16,jute
105.73,48.95,16.85,22.31,75.36,7.16,89.57,cotton
4.7,22.24,9.09,15.15,92.01,6.11,113.91,orange
35.27,19.13,42.4,18.61,91.69,6.41,126.18,pomegranate
42.03,58.83,22.28,31.0,67.31,7.15,74.75,blackgram
86.7,39.07,44.11,25.76,83.8,6.59,253.16,rice
11.46,55.07,24.97,24.24,62.43,7.48,68.8,mothbeans
115.9,19.2,48.97,27.65,91.87,6.33,21.76,muskmelon
93.21,13.93,53.72,24.14,83.85,6.16,50.43,watermelon
15.05,78.08,20.45,21.24,67.02,6.66,74.67,lentil
25.39,59.77,21.95,22.16,53.81,5.29,162.82,pigeonpeas
34.15,127.26,203.76,8.65,82.93,6.43,71.57,grapes
5.88,43.57,23.65,25.24,42.07,6.6,38.61,mothbeans
35.25,6.17,42.07,24.44,87.71,6.37,130.6,pomegranate
93.4,58.4,44.89,24.59,89.82,6.23,162.68,jute
93.94,7.69,51.47,25.39,84.95,6.43,54.34,watermelon
99.55,31.11,34.18,24.91,65.3,6.9,196.35,coffee
74.86,39.88,36.14,25.96,85.4,7.45,188.67,jute
18.95,132.44,203.42,20.92,90.03,6.15,105.06,apple
80.87,48.49,40.18,23.04,70.03,6.15,155.08,jute
31.6,25.45,7.9,18.49,94.68,6.25,100.84,orange
9.34,21.59,25.38,28.35,54.86,5.29,64.61,mango
45.72,72.35,20.13,18.05,19.49,5.52,87.36,kidneybeans
84.23,14.97,47.86,24.6,89.36,6.02,46.57,watermelon
38.39,79.83,15.45,32.46,44.87,5.68,172.97,pigeonpeas
133.37,42.6,19.69,28.99,75.53,7.28,70.96,cotton
2.09,5.26,5.22,10.21,90.55,6.36,104.42,orange
88.59,12.75,52.36,25.67,89.29,6.38,46.96,watermelon
98.05,10.76,49.32,29.94,90.44,6.92,24.8,muskmelon
108.01,37.83,23.43,24.07,77.85,7.42,78.95,cotton
53.66,66.78,24.79,21.34,18.88,5.84,89.26,kidneybeans
43.78,67.42,89.82,17.55,18.17,6.71,82.13,chickpea
59.32,71.07,22.18,34.77,63.77,7.2,69.35,blackgram
13.07,63.74,20.96,21.29,60.27,6.74,63.77,lentil
87.55,57.38,41.99,25.94,75.81,6.46,189.15,jute
12.82,6.4,39.27,18.9,94.48,6.48,119.28,pomegranate
85.6,12.7,47.42,27.55,90.32,6.76,24.27,muskmelon
2.87,7.36,30.83,25.26,93.37,6.63,166.49,coconut
99.08,86.06,45.38,28.11,82.78,6.0,100.73,banana
117.54,5.81,45.12,28.98,91.45,6.25,23.31,muskmelon
93.37,90.45,45.38,29.35,80.13,5.9,104.92,banana
73.59,53.12,15.65,20.52,65.79,6.69,75.94,maize
19.72,66.8,19.9,28.16,68.32,6.4,55.0,lentil
13.93,141.31,198.64,36.33,81.82,6.22,66.07,grapes
113.95,27.79,32.07,23.96,63.77,6.41,191.6,coffee
26.05,60.63,78.76,20.4,17.37,7.07,69.59,chickpea
7.16,44.81,24.48,27.42,87.64,6.11,64.53,mungbean
7.89,57.44,16.67,29.08,68.21,6.35,64.67,lentil
49.76,77.98,19.24,28.42,69.62,6.67,69.89,blackgram
103.21,92.6,48.2,28.35,76.88,6.12,100.09,banana
71.56,38.52,36.57,25.56,87.46,6.61,158.48,jute
39.87,33.77,31.45,30.91,45.49,4.58,82.17,mango
32.97,44.92,16.56,29.9,49.01,7.8,37.18,mothbeans
33.79,45.78,18.79,31.32,46.28,8.9,46.78,mothbeans
108.39,19.26,47.45,26.24,85.21,6.27,51.65,watermelon
28.23,73.54,20.47,33.84,65.54,6.8,66.95,blackgram
25.11,14.39,6.41,27.73,94.27,7.03,100.36,orange
96.74,11.61,51.34,26.32,80.34,6.59,42.8,watermelon
17.11,129.92,195.9,22.25,92.4,5.6,115.31,apple
24.38,131.03,199.16,23.33,91.55,6.44,104.49,apple
88.02,37.22,28.22,23.07,66.87,7.41,182.78,coffee
47.67,71.53,15.38,28.68,69.79,6.63,70.02,blackgram
108.72,16.14,45.51,24.66,82.74,6.55,42.17,watermelon
114.45,56.55,19.24,29.33,79.98,6.3,97.52,cotton
71.48,50.42,24.81,23.05,60.2,6.45,87.0,maize
58.8,76.63,21.01,32.01,62.85,6.95,69.56,blackgram
5.34,121.44,202.75,27.4,83.04,5.65,70.72,grapes
56.25,61.24,79.08,20.04,16.7,7.83,67.61,chickpea
8.81,128.46,199.44,13.82,83.49,6.2,65.85,grapes
6.9,20.03,32.12,26.59,95.4,6.54,177.92,coconut
99.04,94.79,52.7,26.05,80.01,5.73,102.29,banana
11.86,36.93,16.7,27.38,81.23,6.52,46.15,mungbean
5.13,49.46,21.93,29.6,58.84,9.09,47.5,mothbeans
130.19,58.34,17.2,28.69,81.9,7.24,99.85,cotton
48.1,62.45,16.05,22.82,22.51,5.52,92.4,kidneybeans
120.59,36.6,18.56,26.81,80.56,6.31,81.45,cotton
84.26,12.38,52.68,24.66,82.69,6.24,54.88,watermelon
2.66,28.83,27.82,26.91,90.92,5.67,205.41,coconut
3.91,120.45,196.61,41.86,80.72,6.0,73.48,grapes
28.4,121.44,199.08,22.82,91.13,6.3,115.77,apple
62.67,52.51,46.5,26.98,92.34,6.42,100.67,papaya
81.16,42.16,40.91,20.21,80.15,6.73,223.78,rice
104.95,5.08,46.86,24.3,83.63,6.5,40.65,watermelon
119.78,15.3,30.41,25.87,68.28,6.76,177.19,coffee
